month,trades,pnl,win_rate
2025-01,2,-99.71649877487918,0.0
2025-02,3,-83.77178933556047,0.0
2025-03,6,-268.78839035769965,0.0
2025-04,3,-16.871340407219762,33.33333333333333
2025-05,4,-143.36555790452152,0.0
2025-06,4,-68.45856260140842,25.0
2025-07,4,-66.51511168147525,25.0
2025-08,6,-201.63779880218124,0.0
2025-09,4,-21.517988031407736,25.0
2025-10,2,44.67756606022325,50.0
2025-11,2,-90.48345480898536,0.0
2025-12,6,-130.92406096554123,16.666666666666664
2026-01,3,50.87695352192851,33.33333333333333
2026-02,5,193.68009001546199,60.0
2026-03,3,136.40155479265215,66.66666666666666
2026-04,5,-8.568221978341164,40.0
2026-05,3,-93.61427696418647,0.0
2026-06,3,-28.488041666199948,33.33333333333333
2026-07,2,-7.618820708679085,50.0
