month,trades,pnl,win_rate
2025-01,3,-28.105052644174805,33.33333333333333
2025-02,2,-77.64246661123241,0.0
2025-04,4,218.27048721871842,75.0
2025-05,6,-89.6319536375308,16.666666666666664
2025-06,4,-142.23319309929065,0.0
2025-07,5,-56.41803641312858,20.0
2025-08,3,-104.05169477458769,0.0
2025-09,5,-102.27863467359613,20.0
2025-10,2,47.6276501716391,50.0
2025-11,4,61.06340928236288,50.0
2025-12,4,-154.84603264274665,0.0
2026-01,2,42.24767155509499,50.0
2026-04,3,-16.716794655672345,33.33333333333333
2026-05,2,-47.86885661542857,0.0
2026-06,1,-39.30742955209817,0.0
2026-07,1,-29.970296173020174,0.0
