month,trades,pnl,win_rate
2025-01,10,-257.09638914505683,10.0
2025-02,1,-35.1824047286719,0.0
2025-03,4,-47.706031928932326,25.0
2025-04,11,-27.6015944653602,36.36363636363637
2025-05,10,70.8328719477362,50.0
2025-06,3,-124.42206388820817,0.0
2025-07,9,-125.1381886279158,22.22222222222222
2025-08,2,-62.11068852971765,0.0
2025-09,4,-117.20792220405616,0.0
2025-10,4,-109.26887144460504,0.0
2025-12,2,-87.61454179729732,0.0
2026-01,5,-10.071209867999066,40.0
2026-03,4,124.24828525656135,75.0
2026-04,8,12.168800577140921,37.5
2026-05,1,-28.855080470338635,0.0
2026-07,6,-148.3615504970352,0.0
