time,side,limit,stop,fvg_low,fvg_high,order_block
2025-01-13 03:50:00+00:00,short,94210.6,94695.40053553166,94180.9,94240.3,"(94610.9, 94672.7)"
2025-01-18 16:15:00+00:00,short,104411.5,104992.87155727783,104373.4,104449.6,"(104396.6, 104662.2)"
2025-01-18 20:30:00+00:00,short,104068.79999999999,104520.52370434823,104029.2,104108.4,
2025-01-20 12:15:00+00:00,short,107930.6,108841.90350529677,107632.6,108228.6,
2025-01-22 06:30:00+00:00,short,105674.3,105992.6218664826,105598.6,105750.0,
2025-01-30 20:40:00+00:00,short,105326.7,105816.53409493608,105239.0,105414.4,
2025-02-04 19:50:00+00:00,short,99746.75,100864.73516985061,99671.0,99822.5,"(99822.5, 100509.1)"
2025-02-17 10:35:00+00:00,short,96195.05,96411.07285338208,96148.1,96242.0,"(96315.5, 96356.0)"
2025-02-18 20:40:00+00:00,short,94076.45,94575.2268991006,93989.7,94163.2,
2025-02-20 14:50:00+00:00,short,97575.9,98033.97686001273,97446.8,97705.0,
2025-03-23 16:35:00+00:00,short,85145.0,85364.58371476503,85041.4,85248.6,"(85237.0, 85299.9)"
2025-04-01 18:05:00+00:00,short,84993.1,85355.52269669212,84901.2,85085.0,
2025-04-11 21:30:00+00:00,short,83919.85,84016.38129424481,83862.3,83977.4,"(83977.4, 84272.0)"
2025-04-13 11:20:00+00:00,short,84561.45,84800.66465774464,84455.4,84667.5,"(84667.5, 84756.3)"
2025-04-15 14:00:00+00:00,short,85790.85,86522.41854763786,85650.0,85931.7,
2025-04-25 17:40:00+00:00,short,95094.15,95551.14085878726,95014.6,95173.7,
2025-04-27 22:05:00+00:00,short,94249.95000000001,94567.02737545977,94189.8,94310.1,
2025-04-29 04:45:00+00:00,short,94615.9,94906.45998207049,94526.6,94705.2,
2025-05-01 03:15:00+00:00,short,94813.8,95012.41457634482,94758.1,94869.5,
2025-05-02 18:55:00+00:00,short,97313.65,97511.29052542393,97245.1,97382.2,"(97464.6, 97548.0)"
2025-05-04 13:20:00+00:00,short,95418.7,95604.62814021258,95392.0,95445.4,
2025-05-09 14:25:00+00:00,short,103155.20000000001,103828.84927491244,102986.3,103324.1,"(103418.0, 103579.9)"
2025-05-23 10:15:00+00:00,short,111057.95,111405.36505679364,110991.9,111124.0,"(111300.3, 111376.8)"
2025-05-25 10:55:00+00:00,short,107128.15,107407.61949118688,107083.0,107173.3,
2025-05-27 06:55:00+00:00,short,109039.0,109294.77026315792,108942.7,109135.3,"(109135.3, 109262.4)"
2025-05-28 13:45:00+00:00,short,109068.65,109847.85953797933,108502.8,109634.5,"(109724.9, 109781.9)"
2025-06-01 09:10:00+00:00,short,104272.4,104488.73780195387,104222.3,104322.5,
2025-06-01 12:35:00+00:00,short,103942.95,104193.33081873418,103895.2,103990.7,"(103990.7, 104052.0)"
2025-06-03 02:20:00+00:00,short,106159.0,106525.0316858567,106095.1,106222.9,
2025-06-06 10:35:00+00:00,short,103610.1,103764.76765202283,103562.8,103657.4,"(103668.5, 103761.0)"
