time,side,limit,stop,fvg_low,fvg_high,order_block
2025-01-06 11:25:00+00:00,long,99098.85,98680.27845134467,99060.0,99137.7,"(98703.6, 98825.6)"
2025-01-13 13:10:00+00:00,long,91158.4,90245.3035159027,91071.0,91245.8,"(90673.9, 90958.4)"
2025-01-13 14:45:00+00:00,long,90665.04999999999,89025.02743051034,90395.7,90934.4,
2025-01-23 14:40:00+00:00,long,104242.35,101909.60092923495,104130.3,104354.4,"(102005.6, 102349.7)"
2025-01-24 03:30:00+00:00,long,103295.25,102691.9042705761,103155.1,103435.4,
2025-02-05 05:50:00+00:00,long,97899.25,97666.82092555701,97864.1,97934.4,
2025-02-06 13:35:00+00:00,long,98415.0,98108.06538439753,98310.6,98519.4,"(98150.7, 98373.5)"
2025-02-22 09:10:00+00:00,long,96280.04999999999,96086.0126493112,96251.4,96308.7,"(96101.3, 96185.2)"
2025-02-22 15:50:00+00:00,long,96603.75,96474.49083363928,96580.5,96627.0,"(96488.3, 96535.8)"
2025-03-04 14:40:00+00:00,long,83351.8,81905.48331688221,83198.1,83505.5,
2025-03-06 10:20:00+00:00,long,91035.85,90550.04032547711,90993.2,91078.5,
2025-03-06 19:50:00+00:00,long,88870.7,87776.34901142893,88686.4,89055.0,
2025-03-10 07:05:00+00:00,long,82384.65,81952.51051927962,82375.6,82393.7,
2025-03-10 09:20:00+00:00,long,82431.9,81058.61001922093,81955.7,82908.1,"(81138.4, 81486.9)"
2025-03-15 04:40:00+00:00,long,84449.6,84267.75557375688,84405.2,84494.0,
2025-03-20 13:35:00+00:00,long,85222.0,85147.05091758077,85183.9,85260.1,"(85061.5, 85333.8)"
2025-03-25 17:10:00+00:00,long,88043.65,87568.17759008503,87997.8,88089.5,"(87750.1, 87844.3)"
2025-04-03 13:35:00+00:00,long,82124.79999999999,81730.265826096,82055.2,82194.4,"(81785.7, 81998.3)"
2025-04-14 02:30:00+00:00,long,84808.95000000001,83969.41408727823,84611.6,85006.3,"(84313.5, 84466.2)"
2025-04-22 05:35:00+00:00,long,88198.35,87936.0254213379,88139.7,88257.0,"(88015.8, 88100.7)"
2025-04-26 00:50:00+00:00,long,94740.45,94530.9600195014,94674.0,94806.9,
