side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
short,2025-04-01 18:45:00+00:00,2025-04-01 21:35:00+00:00,84920.8,85355.72269669212,85355.52269669212,83871.82092661578,0.10109848422724571,-43.97002539159869,6.025144420442622,-49.99516981204131,34,stop
short,2025-06-06 10:50:00+00:00,2025-06-06 11:15:00+00:00,103578.7,103764.96765202282,103764.76765202283,102987.84942595434,0.09606226791983254,-17.89329309341494,6.971266033714267,-24.86455912712921,5,stop
long,2025-07-13 02:30:00+00:00,2025-07-14 10:40:00+00:00,117446.4,118205.71835699303,117190.55954150348,118205.91835699303,0.0845078288569154,64.16834576068207,6.97005711075882,57.198288649923256,86,target
long,2025-08-04 21:05:00+00:00,2025-08-06 00:20:00+00:00,114950.3,114604.67312305734,114604.87312305733,115883.74938388534,0.0868404741850239,-30.014401884790182,6.977131951137851,-36.99153383592803,27,stop
short,2025-09-06 09:45:00+00:00,2025-09-06 14:00:00+00:00,110775.2,111000.13590676908,110999.93590676908,110091.90026646183,0.0897795447525694,-20.194643308234582,6.968811043270261,-27.163454351504843,51,stop
short,2025-09-08 14:15:00+00:00,2025-09-08 14:30:00+00:00,112018.0,112396.22257418463,112396.02257418464,111025.51705163073,0.0885409806595665,-33.48819762589315,6.954449369235388,-40.442646995128534,3,stop
short,2025-09-11 18:50:00+00:00,2025-09-11 22:15:00+00:00,114194.8,114620.96068072924,114620.76068072925,113101.86955854151,0.08649904307839054,-36.862491080714854,6.927320519047987,-43.78981159976284,41,stop
long,2025-09-23 15:05:00+00:00,2025-09-23 17:30:00+00:00,112800.9,112338.68317790968,112338.88317790968,113963.01553418062,0.08717972208491626,-40.29593409280652,6.86966220211742,-47.16559629492394,29,stop
long,2025-11-13 15:10:00+00:00,2025-11-13 15:35:00+00:00,102846.09999999999,101667.26509091661,101667.46509091661,105420.54662816676,0.03911499957900276,-46.11012697251016,2.7998390663010744,-48.909966038811234,5,stop
long,2026-02-13 07:50:00+00:00,2026-02-13 10:15:00+00:00,66300.4,67084.6343138341,65978.39826308294,67084.8343138341,0.13201678773911504,103.53209494716815,6.163172316904406,97.36892263026374,29,target
long,2026-04-28 17:20:00+00:00,2026-04-29 03:15:00+00:00,76091.59999999999,76725.4314255029,75855.08046724854,76725.6314255029,0.12925532480884824,81.92608677743404,6.913345261629573,75.01274151580446,119,target
short,2026-05-07 19:50:00+00:00,2026-05-07 20:00:00+00:00,80064.0,80293.52573486337,80293.32573486338,79436.01413027324,0.12377919183079487,-28.410509965757853,6.947123728806549,-35.3576336945644,2,stop
long,2026-05-09 04:45:00+00:00,2026-05-09 06:30:00+00:00,80437.4,80285.96588892084,80286.16588892083,80909.98676215831,0.12276502697807484,-18.590812732033548,6.905922922276128,-25.496735654309674,21,stop
long,2026-05-29 21:35:00+00:00,2026-05-29 23:20:00+00:00,73598.9,73357.2655249035,73357.4655249035,74237.52664019298,0.13382540833343826,-32.33683229722415,6.883264100470294,-39.22009639769444,21,stop
