side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
long,2025-02-06 13:45:00+00:00,2025-02-06 14:30:00+00:00,98415.0,98107.86538439753,98108.06538439753,99191.85398120494,0.10161052685058172,-31.208110105417518,5.489077161463104,-36.697187266880626,9,stop
short,2025-04-13 12:00:00+00:00,2025-04-13 13:40:00+00:00,84561.45,83943.09429201072,84800.66465774464,83942.89429201072,0.11782322574569287,72.85666417355844,5.454316714542471,67.40234745901597,20,target
short,2025-04-25 18:00:00+00:00,2025-05-01 09:50:00+00:00,94681.55,95553.06533232167,95552.86533232167,92782.09477785666,0.05430279210973272,-47.32571591150803,2.844373890021523,-50.17008980152955,730,stop
long,2025-05-20 12:10:00+00:00,2025-05-20 12:20:00+00:00,105035.2,104871.76046303604,104871.96046303604,105535.5871539279,0.09502086034387144,-15.53016541651882,5.483858730819052,-21.01402414733787,2,stop
short,2025-05-27 07:05:00+00:00,2025-05-27 07:30:00+00:00,109039.0,109294.97026315791,109294.77026315792,108346.94512368417,0.09133907176554507,-23.38008623642607,5.485919605616547,-28.866005842042615,5,stop
short,2025-06-01 12:40:00+00:00,2025-06-01 13:10:00+00:00,103942.95,104193.53081873417,104193.33081873418,103270.08249503165,0.09553947661097965,-23.940360270613883,5.470239398315391,-29.410599668929276,6,stop
long,2025-06-13 13:45:00+00:00,2025-06-13 14:00:00+00:00,105065.75,104629.39310545727,104629.59310545727,106112.02227658546,0.0942385548166962,-41.12164312600792,5.431291867308662,-46.55293499331658,3,stop
long,2025-06-22 00:10:00+00:00,2025-06-22 13:30:00+00:00,101964.35,100822.84329813455,100823.04329813455,104415.80458123091,0.041143944987819536,-46.966088944779464,2.290930452784655,-49.25701939756412,160,stop
long,2025-07-13 02:15:00+00:00,2025-07-14 10:40:00+00:00,117425.25,118088.78257949305,117190.55954150348,118088.98257949305,0.08350362878802829,55.40737820675086,5.412381549860144,49.99499665689072,89,target
short,2025-07-14 13:25:00+00:00,2025-07-14 13:45:00+00:00,121705.0,121955.69988083256,121955.49988083256,121002.58698833488,0.08097801637564858,-20.301179055432097,5.427591628318472,-25.728770683750568,4,stop
short,2025-07-18 04:30:00+00:00,2025-07-18 05:10:00+00:00,120110.79999999999,120513.62291735847,120513.42291735848,119106.77134528302,0.08183860828763576,-32.96646694298365,5.417873655203053,-38.384340598186704,8,stop
short,2025-07-18 14:05:00+00:00,2025-07-19 21:15:00+00:00,118908.75,117435.57408561383,119547.03823844308,117435.37408561383,0.06955165923471598,102.4618291901781,4.512803832797757,97.94902535738034,74,target
long,2025-08-01 10:00:00+00:00,2025-08-02 13:00:00+00:00,114890.95,114079.35728524344,114079.55728524344,116703.90549701311,0.05652412293873054,-45.87456638507745,3.555704502056372,-49.43027088713382,24,stop
long,2025-08-04 20:55:00+00:00,2025-08-06 00:20:00+00:00,114880.2,114604.67312305734,114604.87312305733,115621.00608388532,0.08565301180000225,-23.5997068419876,5.403649422007945,-29.003356263995546,29,stop
long,2025-08-08 00:55:00+00:00,2025-08-08 01:15:00+00:00,117280.4,116821.0489290305,116821.2489290305,118392.81480193899,0.08365278230567617,-38.4259951416905,5.382508375157851,-43.80850351684835,4,stop
long,2025-09-01 06:00:00+00:00,2025-09-01 07:50:00+00:00,107809.20000000001,109141.75912787658,107232.06302606173,109141.95912787657,0.07670854391339567,102.21867037791566,4.584214248489702,97.63445612942596,22,target
short,2025-09-06 09:35:00+00:00,2025-09-06 14:00:00+00:00,110794.45,111000.13590676908,110999.93590676908,110200.06734396183,0.08903566670113171,-18.313381840212042,5.431971431038436,-23.74535327125048,53,stop
short,2025-09-08 14:00:00+00:00,2025-09-08 14:30:00+00:00,112086.8,112396.22257418463,112396.02257418464,111282.81163163073,0.08779724614552248,-27.166449908669257,5.422010060563207,-32.58845996923246,6,stop
long,2025-09-09 21:15:00+00:00,2025-09-10 00:50:00+00:00,111577.55,111059.66142069284,111059.86142069283,112797.63011611435,0.08466308492439166,-43.84604477125528,5.180228659548117,-49.02627343080339,43,stop
long,2025-09-15 13:35:00+00:00,2025-09-15 13:40:00+00:00,114930.55,114589.7085072741,114589.9085072741,115802.06839295181,0.08491473882152233,-28.9424663343576,5.357483836508128,-34.29995017086573,1,stop
long,2025-09-23 15:05:00+00:00,2025-09-23 17:30:00+00:00,112703.75,112338.68317790968,112338.88317790968,113620.04483168064,0.08628814645203063,-31.500939409306696,5.3377233983379195,-36.83866280764461,29,stop
long,2025-10-11 05:15:00+00:00,2025-10-11 07:00:00+00:00,112448.85,111618.20964481549,111618.40964481549,114295.87131286904,0.054276177723555176,-45.08398354235169,3.341032177835346,-48.425015720187034,21,stop
long,2025-10-21 11:05:00+00:00,2025-10-21 14:15:00+00:00,108258.75,109932.94890958503,107511.16401395749,109933.14890958503,0.05970144998365628,99.95210246328251,3.5897456274921313,96.3623568357904,38,target
long,2025-11-13 15:00:00+00:00,2025-11-13 15:35:00+00:00,102600.8,101667.26509091661,101667.46509091661,104637.36113816679,0.04917392499149402,-45.90557559620788,2.7588392723383315,-48.66441486854621,7,stop
short,2025-11-14 23:10:00+00:00,2025-11-15 01:50:00+00:00,94679.1,95567.60387263366,95567.40387263366,92745.6717397327,0.05149726210460506,-45.755516809971695,2.697657366573953,-48.453174176545645,32,stop
long,2025-12-05 15:50:00+00:00,2025-12-05 16:05:00+00:00,90610.6,89815.4463113299,89815.6463113299,92350.61486734022,0.05703608483881705,-45.35245324688654,2.8265672692564543,-48.17902051614299,3,stop
long,2025-12-09 04:30:00+00:00,2025-12-09 04:35:00+00:00,90165.7,89768.04890310175,89768.24890310175,91109.9755987965,0.1063686052949156,-42.29759257105992,5.260135707542004,-47.55772827860193,1,stop
short,2025-12-16 14:05:00+00:00,2025-12-19 10:20:00+00:00,86754.25,87959.71269787615,87959.51269787615,84199.9800917477,0.0380761773841432,-45.89941151430017,1.8328634105355732,-47.73227492483574,219,stop
