side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
long,2025-02-06 13:45:00+00:00,2025-02-06 14:30:00+00:00,98415.0,98107.86538439753,98108.06538439753,99191.85398120494,0.10161052685058172,-31.208110105417518,5.489077161463104,-36.697187266880626,9,stop
long,2025-05-20 12:10:00+00:00,2025-05-20 12:20:00+00:00,105035.2,104871.76046303604,104871.96046303604,105535.5871539279,0.0948567986040215,-15.503351241724246,5.474390374068613,-20.97774161579286,2,stop
long,2025-06-13 13:45:00+00:00,2025-06-13 14:00:00+00:00,105065.75,104629.39310545727,104629.59310545727,106112.02227658546,0.09462955407558912,-41.292258348386945,5.453826498692596,-46.74608484707954,3,stop
long,2025-06-22 00:10:00+00:00,2025-06-22 13:30:00+00:00,101964.35,100822.84329813455,100823.04329813455,104415.80458123091,0.041314652741450325,-47.160952989609406,2.3004356081953725,-49.46138859780478,160,stop
long,2025-07-13 02:15:00+00:00,2025-07-14 10:40:00+00:00,117425.25,118088.78257949305,117190.55954150348,118088.98257949305,0.08385008844070968,55.63726547378481,5.434837721635669,50.20242775214914,89,target
long,2025-08-01 10:00:00+00:00,2025-08-02 13:00:00+00:00,114890.95,114079.35728524344,114079.55728524344,116703.90549701311,0.05656444511274237,-45.907291567748594,3.5582410073254933,-49.465532575074086,24,stop
long,2025-08-04 20:55:00+00:00,2025-08-06 00:20:00+00:00,114880.2,114604.67312305734,114604.87312305733,115621.00608388532,0.08571411342293553,-23.616541981330535,5.40750418137377,-29.024046162704302,29,stop
long,2025-08-08 00:55:00+00:00,2025-08-08 01:15:00+00:00,117280.4,116821.0489290305,116821.2489290305,118392.81480193899,0.08371245704045017,-38.45340679501876,5.386348053299491,-43.83975484831825,4,stop
long,2025-09-01 06:00:00+00:00,2025-09-01 07:50:00+00:00,107809.20000000001,109141.75912787658,107232.06302606173,109141.95912787657,0.07676326489083077,102.29158931588313,4.587484453758264,97.70410486212486,22,target
long,2025-09-09 21:15:00+00:00,2025-09-10 00:50:00+00:00,111577.55,111059.66142069284,111059.86142069283,112797.63011611435,0.08521008713106792,-44.129330966948736,5.213697750715667,-49.3430287176644,43,stop
long,2025-09-15 13:35:00+00:00,2025-09-15 13:40:00+00:00,114930.55,114589.7085072741,114589.9085072741,115802.06839295181,0.085463366946238,-29.129461563337106,5.3920981608434575,-34.52155972418056,1,stop
long,2025-09-23 15:05:00+00:00,2025-09-23 17:30:00+00:00,112703.75,112338.68317790968,112338.88317790968,113620.04483168064,0.0868456480663578,-31.70446475195934,5.37221005187914,-37.07667480383848,29,stop
long,2025-10-11 05:15:00+00:00,2025-10-11 07:00:00+00:00,112448.85,111618.20964481549,111618.40964481549,114295.87131286904,0.05462685227092435,-45.37526797293258,3.362618350551407,-48.73788632348399,21,stop
long,2025-10-21 11:05:00+00:00,2025-10-21 14:15:00+00:00,108258.75,109932.94890958503,107511.16401395749,109933.14890958503,0.0600871768315735,100.5978859314632,3.6129387202243213,96.98494721123888,38,target
long,2025-11-13 15:00:00+00:00,2025-11-13 15:35:00+00:00,102600.8,101667.26509091661,101667.46509091661,104637.36113816679,0.04949163424465084,-46.20216827496859,2.7766639378484763,-48.97883221281707,7,stop
long,2025-12-05 15:50:00+00:00,2025-12-05 16:05:00+00:00,90610.6,89815.4463113299,89815.6463113299,92350.61486734022,0.057693152084744105,-45.874922691189745,2.859129896517537,-48.73405258770728,3,stop
long,2025-12-09 04:30:00+00:00,2025-12-09 04:35:00+00:00,90165.7,89768.04890310175,89768.24890310175,91109.9755987965,0.10759399316527421,-42.78486940183383,5.320733535957549,-48.105602937791375,1,stop
long,2026-01-18 05:55:00+00:00,2026-01-18 07:40:00+00:00,95153.0,95042.33208282327,95042.53208282327,95533.612,0.10144905685164286,-11.227155821315174,5.305320654094945,-16.53247647541012,21,stop
long,2026-02-18 15:10:00+00:00,2026-02-18 15:35:00+00:00,67279.35,68053.50460478973,66947.97816135515,68053.70460478973,0.13072830564035137,101.20391978783701,4.87284485847204,96.33107492936497,5,target
long,2026-02-23 13:15:00+00:00,2026-02-23 14:30:00+00:00,66178.65,65996.34954886271,65996.5495488627,66652.64567477457,0.1470713093279831,-26.811166039842593,5.343755479668136,-32.15492151951073,15,stop
long,2026-02-27 08:35:00+00:00,2026-02-27 09:45:00+00:00,67803.5,67413.90601008684,67414.10601008683,68694.76375482633,0.11362316540137075,-44.26690235528325,4.221733146586164,-48.48863550186941,14,stop
long,2026-03-13 04:15:00+00:00,2026-03-13 08:35:00+00:00,71297.55,72172.3305743408,70919.18019157961,72172.5305743408,0.11551842103529507,101.05327070019723,4.565267864571821,96.48800283562541,52,target
long,2026-04-28 17:05:00+00:00,2026-04-29 00:50:00+00:00,76027.75,76498.93485300292,75855.08046724854,76499.13485300292,0.12822719534475996,60.41871218949791,5.383000382246241,55.035711807251666,93,target
long,2026-05-28 14:20:00+00:00,2026-06-02 08:40:00+00:00,73076.9,72549.2862268992,72549.4862268992,74252.90443120158,0.08633106806582677,-45.54946055803208,3.4539014441714784,-49.00336200220356,472,stop
long,2026-06-23 16:20:00+00:00,2026-06-23 18:40:00+00:00,62615.149999999994,62166.67214502534,62166.872145025336,63615.62070744931,0.10099948763044443,-45.29603356604094,3.462400325598768,-48.758433891639704,28,stop
long,2026-07-18 04:15:00+00:00,2026-07-19 05:40:00+00:00,63948.2,64203.7928,63897.02174003026,64203.9928,0.15178064537838412,38.794040138069136,5.3519324007806155,33.442107737288524,5,target
