side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
short,2025-04-13 12:00:00+00:00,2025-04-13 13:40:00+00:00,84561.45,83943.09429201072,84800.66465774464,83942.89429201072,0.11825719639386506,73.12501240095553,5.474406245659667,67.65060615529586,20,target
short,2025-04-25 18:00:00+00:00,2025-05-01 09:50:00+00:00,94681.55,95553.06533232167,95552.86533232167,92782.09477785666,0.05450280206312072,-47.50002765250261,2.8548503879520837,-50.35487804045469,730,stop
short,2025-05-27 07:05:00+00:00,2025-05-27 07:30:00+00:00,109039.0,109294.97026315791,109294.77026315792,108346.94512368417,0.09186892513793084,-23.515712943590763,5.51774314999342,-29.033456093584185,5,stop
short,2025-06-01 12:40:00+00:00,2025-06-01 13:10:00+00:00,103942.95,104193.53081873417,104193.33081873418,103270.08249503165,0.09609369632111901,-24.07923709933922,5.50197198259646,-29.58120908193568,6,stop
short,2025-07-14 13:25:00+00:00,2025-07-14 13:45:00+00:00,121705.0,121955.69988083256,121955.49988083256,121002.58698833488,0.0818263922019582,-20.513866773989143,5.484454437987525,-25.998321211976666,4,stop
short,2025-07-18 04:30:00+00:00,2025-07-18 05:10:00+00:00,120110.79999999999,120513.62291735847,120513.42291735848,119106.77134528302,0.08269600020753627,-33.31184405747757,5.474634653370158,-38.78647871084773,8,stop
short,2025-07-18 14:05:00+00:00,2025-07-19 21:15:00+00:00,118908.75,117435.57408561383,119547.03823844308,117435.37408561383,0.07028032547050937,103.53528273837534,4.560082759251856,98.97519997912349,74,target
short,2025-09-06 09:35:00+00:00,2025-09-06 14:00:00+00:00,110794.45,111000.13590676908,110999.93590676908,110200.06734396183,0.09019288838922547,-18.551406032460456,5.502572296758953,-24.053978329219408,53,stop
short,2025-09-08 14:00:00+00:00,2025-09-08 14:30:00+00:00,112086.8,112396.22257418463,112396.02257418464,111282.81163163073,0.08893837173214332,-27.519539925149427,5.492481455540324,-33.01202138068975,6,stop
short,2025-11-14 23:10:00+00:00,2025-11-15 01:50:00+00:00,94679.1,95567.60387263366,95567.40387263366,92745.6717397327,0.05281758683311449,-46.928630444386286,2.7668218926976573,-49.69545233708394,32,stop
short,2025-12-16 14:05:00+00:00,2025-12-19 10:20:00+00:00,86754.25,87959.71269787615,87959.51269787615,84199.9800917477,0.039444171842663966,-47.54847780494824,1.898714217026519,-49.447192021974764,219,stop
short,2026-04-11 22:55:00+00:00,2026-04-13 00:20:00+00:00,73373.04999999999,72833.31207042205,73582.18619853896,72833.11207042205,0.1340637034841356,72.35926575007811,5.384838807397133,66.97442694268098,5,target
short,2026-04-24 01:45:00+00:00,2026-04-24 02:00:00+00:00,78260.95000000001,78492.17354044558,78491.97354044559,77669.17235160887,0.12654634585791935,-29.260494119717883,5.4572416581700365,-34.71773577788792,3,stop
short,2026-05-07 19:35:00+00:00,2026-05-07 20:00:00+00:00,80066.04999999999,80293.52573486337,80293.32573486338,79478.78954777321,0.12325972756357344,-28.038597106584696,5.437719239537602,-33.476316346122296,5,stop
short,2026-05-28 10:40:00+00:00,2026-05-28 10:45:00+00:00,73499.9,73577.12763396505,73576.92763396505,73205.9004,0.13381573571862446,-10.33427265684262,5.413110751989824,-15.747383408832444,1,stop
short,2026-06-27 00:40:00+00:00,2026-06-27 02:20:00+00:00,59996.2,60210.084351290236,60209.88435129024,59469.237567419514,0.16367196272991444,-35.00687157288785,5.413085100735582,-40.41995667362343,20,stop
