side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
short,2025-01-13 03:55:00+00:00,2025-01-13 04:20:00+00:00,94210.6,94695.60053553166,94695.40053553166,93084.9514389367,0.0931417207269391,-45.17378443290517,4.842026391646071,-50.015810824551245,5,stop
long,2025-01-13 13:40:00+00:00,2025-01-13 14:30:00+00:00,91158.4,90245.10351590271,90245.3035159027,93135.60432819457,0.0516381416781612,-47.16093323998212,2.5724813792609758,-49.7334146192431,10,stop
short,2025-01-18 20:40:00+00:00,2025-01-18 23:05:00+00:00,104068.79999999999,104520.72370434823,104520.52370434823,102993.0390713035,0.09513178565099438,-42.992308972660375,5.460185234146343,-48.45249420680672,29,stop
short,2025-01-22 07:15:00+00:00,2025-01-22 08:20:00+00:00,105674.3,104862.8936720348,105992.6218664826,104862.6936720348,0.09322794927763323,75.64574798709064,5.392013042396687,70.25373494469396,13,target
long,2025-01-23 15:05:00+00:00,2025-01-27 01:00:00+00:00,104242.35,101909.40092923495,101909.60092923495,109080.44801903013,0.020754978925880647,-48.42030879888155,1.1730041695092426,-49.59331296839079,383,stop
long,2025-02-05 06:05:00+00:00,2025-02-05 06:35:00+00:00,97899.25,97666.62092555701,97666.82092555701,98526.24191138598,0.10084304734025747,-23.45902476677433,5.421641627610764,-28.880666394385095,6,stop
long,2025-02-06 13:45:00+00:00,2025-02-06 14:30:00+00:00,98415.0,98107.86538439753,98108.06538439753,99191.85398120494,0.10002111503257954,-30.719946717661404,5.4032159384110425,-36.12316265607245,9,stop
short,2025-02-17 11:05:00+00:00,2025-02-17 12:55:00+00:00,96195.05,96411.27285338208,96411.07285338208,95603.68246073584,0.10195384142193639,-22.044750505514614,5.401815842978314,-27.44656634849293,22,stop
short,2025-02-18 20:50:00+00:00,2025-02-18 21:00:00+00:00,94076.45,94575.4268991006,94575.2268991006,92923.0700592988,0.08879309825179774,-44.30570482721681,4.609843704106212,-48.91554853132302,2,stop
long,2025-02-22 15:55:00+00:00,2025-02-22 16:55:00+00:00,96603.75,96474.29083363929,96474.49083363928,97022.26452022143,0.10073203947461076,-13.040685856197587,5.347536777067818,-18.388222633265407,12,stop
long,2025-03-04 14:55:00+00:00,2025-03-04 15:20:00+00:00,83351.8,81905.28331688221,81905.48331688221,86382.5638362356,0.032541422341332886,-47.071710309120064,1.475337271082479,-48.547047580202545,5,stop
long,2025-03-06 11:00:00+00:00,2025-03-06 12:35:00+00:00,91035.85,90549.84032547711,90550.04032547711,92158.2785015458,0.09013737173997889,-43.807634701696315,4.497820067067634,-48.30545476876395,19,stop
long,2025-03-06 19:55:00+00:00,2025-03-07 23:20:00+00:00,88870.7,87776.14901142893,87776.34901142893,91206.63863214213,0.0420482805971378,-46.023987095310645,2.0391646762718714,-48.06315177158252,29,stop
long,2025-03-10 07:10:00+00:00,2025-03-10 08:20:00+00:00,82384.65,81952.31051927962,81952.51051927962,83385.46363394074,0.10015459107227231,-43.300783895947525,4.5230052378966725,-47.823789133844194,14,stop
long,2025-03-15 04:55:00+00:00,2025-03-15 05:55:00+00:00,84449.6,84267.55557375688,84267.75557375688,84953.23069248626,0.11272954629160788,-20.521785575303724,5.228798175927917,-25.75058375123164,12,stop
long,2025-03-25 17:15:00+00:00,2025-03-25 18:40:00+00:00,88043.65,87567.97759008504,87568.17759008503,89140.46684232992,0.09057698348316853,-43.08497201626611,4.371020787310636,-47.45599280357674,17,stop
short,2025-04-01 18:30:00+00:00,2025-04-01 21:35:00+00:00,84993.1,85355.72269669212,85355.52269669212,84127.41599161578,0.1111473580320398,-40.30455469978167,5.209823777919054,-45.514378477700724,37,stop
long,2025-04-03 14:00:00+00:00,2025-04-03 14:10:00+00:00,82124.79999999999,81730.065826096,81730.265826096,83049.97426780796,0.10685592181193886,-42.17968402318438,4.811773774783499,-46.991457797967875,2,stop
short,2025-04-13 12:00:00+00:00,2025-04-13 13:40:00+00:00,84561.45,83943.09429201072,84800.66465774464,83942.89429201072,0.11062076962584363,68.40298432030737,5.120897929310406,63.28208639099696,20,target
